[33msteamclient:[0m connecting to 155.133.242.8:27018
[33msteamclient:[0m connected
[33msteamclient:[0m encrypt request
[33msteamclient:[0m handshake complete
[ 20:55:17 ] Начинаем раунд №49
[ 20:55:20 ] Новая ставка: 784062491 (76561198200506802)
[ 20:55:20 ] Начинаем обрабатывать ставку: 784062491 (76561198200506802)
[ 20:55:20 ] Проверяем вещи в ставке: 784062491 (76561198200506802)
[ 20:55:20 ] Все ОК. Ожидаем подтверждения ставки: 784062491 (76561198200506802)
[ 20:55:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:20 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:21 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:22 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:23 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:24 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:25 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:26 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:27 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:28 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:29 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:30 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:31 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:32 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:33 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:34 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:35 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:36 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:37 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:38 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:39 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:40 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:41 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:42 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:43 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:44 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:45 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:46 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:47 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:48 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:49 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:50 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:51 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:52 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:53 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:54 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:55 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:56 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:57 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:58 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:55:59 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:00 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:01 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:02 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:03 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:04 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:05 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:06 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:07 ] Проверка ставки: 784062491 (76561198200506802)
[ 20:56:07 ] Проверка ставки: 784062491 (76561198200506802)
