[33msteamclient:[0m connecting to 185.25.182.10:27020
[33msteamclient:[0m connected
[33msteamclient:[0m encrypt request
[33msteamclient:[0m handshake complete
[ 07:01:27 ] Получаем новые ставки. Конец раунда.  
[ 07:01:28 ] Начинаем раунд №614
[ 07:01:32 ] Проверяем новые ставки...
[ 07:01:33 ] Новых ставок: 1
[ 07:01:33 ] Проверяем новую ставку: 813081810 (76561198113123209)
[ 07:01:33 ] Начинаем обрабатывать ставку: 813081810 (76561198113123209)
[ 07:01:33 ] Проверяем вещи в ставке: 813081810 (76561198113123209)
[ 07:01:34 ] Все ОК. Ожидаем подтверждения ставки: 813081810 (76561198113123209)
[ 07:01:37 ] Проверяем новые ставки...
[ 07:01:38 ] Новых ставок нет...
[ 07:01:42 ] Проверяем новые ставки...
[ 07:01:43 ] Новых ставок нет...
[ 07:01:47 ] Проверяем новые ставки...
[ 07:01:48 ] Новых ставок нет...
[ 07:01:52 ] Проверяем новые ставки...
[ 07:01:54 ] Новых ставок нет...
[ 07:01:57 ] Проверяем новые ставки...
[ 07:01:58 ] Новых ставок нет...
[ 07:02:02 ] Проверяем новые ставки...
[ 07:02:03 ] Новых ставок нет...
[ 07:02:07 ] Проверяем новые ставки...
[ 07:02:09 ] Новых ставок нет...
[ 07:02:12 ] Проверяем новые ставки...
[ 07:02:13 ] Новых ставок нет...
[ 07:02:17 ] Проверяем новые ставки...
[ 07:02:18 ] Новых ставок нет...
[ 07:02:22 ] Проверяем новые ставки...
[ 07:02:24 ] Новых ставок нет...
[ 07:02:27 ] Проверяем новые ставки...
[ 07:02:28 ] Новых ставок нет...
[ 07:02:32 ] Проверяем новые ставки...
[ 07:02:33 ] Новых ставок нет...
[ 07:02:37 ] Проверяем новые ставки...
[ 07:02:38 ] Новых ставок нет...
[ 07:02:42 ] Проверяем новые ставки...
[ 07:02:43 ] Новых ставок нет...
[ 07:02:47 ] Проверяем новые ставки...
[ 07:02:48 ] Новых ставок нет...
[ 07:02:52 ] Проверяем новые ставки...
[ 07:02:53 ] Новых ставок нет...
[ 07:02:57 ] Проверяем новые ставки...
[ 07:02:58 ] Новых ставок нет...
[ 07:03:02 ] Проверяем новые ставки...
[ 07:03:03 ] Новых ставок нет...
[ 07:03:07 ] Проверяем новые ставки...
[ 07:03:08 ] Новых ставок нет...
[ 07:03:12 ] Проверяем новые ставки...
[ 07:03:13 ] Новых ставок нет...
[ 07:03:17 ] Проверяем новые ставки...
[ 07:03:18 ] Новых ставок нет...
[ 07:03:22 ] Проверяем новые ставки...
[ 07:03:23 ] Новых ставок нет...
[ 07:03:27 ] Проверяем новые ставки...
[ 07:03:28 ] Новых ставок нет...
[ 07:03:32 ] Проверяем новые ставки...
[ 07:03:34 ] Новых ставок нет...
[ 07:03:37 ] Проверяем новые ставки...
[ 07:03:38 ] Новых ставок нет...
[ 07:03:42 ] Проверяем новые ставки...
[ 07:03:43 ] Новых ставок нет...
[ 07:03:47 ] Проверяем новые ставки...
[ 07:03:48 ] Новых ставок нет...
[ 07:03:52 ] Проверяем новые ставки...
[ 07:03:53 ] Новых ставок нет...
[ 07:03:57 ] Проверяем новые ставки...
[ 07:03:58 ] Новых ставок нет...
[ 07:04:02 ] Проверяем новые ставки...
[ 07:04:03 ] Новых ставок нет...
[ 07:04:07 ] Проверяем новые ставки...
[ 07:04:08 ] Новых ставок нет...
[ 07:04:12 ] Проверяем новые ставки...
[ 07:04:13 ] Новых ставок нет...
[ 07:04:17 ] Проверяем новые ставки...
[ 07:04:18 ] Новых ставок нет...
